hours_slept,test_scores,subject,sex,initials,condition,complete
6,0.8,sub01,0,RS,3,TRUE
7,0.85,sub02,1,EE,3,TRUE
6.5,0.8,sub03,1,DR,3,TRUE
5,0.7,sub04,1,GM,4,TRUE
7,0.9,sub05,0,PL,4,TRUE
8,0.9,sub06,0,BB,4,TRUE
8,0.92,sub07,0,EV,3,FALSE
7.5,0.87,sub08,1,TL,4,TRUE
4,0.5,sub09,0,JW,3,FALSE
9,0.87,sub10,1,WB,4,TRUE
6,0.81,sub11,0,TR,3,TRUE
6.7,0.9,sub12,1,AS,3,TRUE
5,0.7,sub13,0,SN,4,TRUE
5,0.77,sub14,0,TG,4,TRUE
5.5,0.82,sub15,1,VB,3,TRUE
6,0.93,sub16,1,RS,4,TRUE
7.5,0.92,sub17,0,TL,4,TRUE
4,0.52,sub18,1,DS,3,TRUE
8,0.84,sub19,0,VT,4,FALSE
8,0.95,sub20,1,EW,4,TRUE
