subid	risk	ethnic	gender	age	wvcat	active
15	67	1	0	36	2	GOLD
15	75	1	0	36	2	MED20
15	80	1	0	36	2	MED80
15	2	1	0	36	2	SILV
15	70	1	0	36	2	STK20
15	60	1	0	36	2	STK80
17	50	1	0	27	0	GOLD
17	50	1	0	27	0	MED20
17	10	1	0	27	0	MED80
17	0	1	0	27	0	SILV
17	50	1	0	27	0	STK20
17	40	1	0	27	0	STK80
19	40	1	1	40	0	GOLD
19	20	1	1	40	0	MED20
19	40	1	1	40	0	MED80
19	10	1	1	40	0	SILV
19	0	1	1	40	0	STK20
19	10	1	1	40	0	STK80
20	50	1	0	83	0	GOLD
20	20	1	0	83	0	MED20
20	50	1	0	83	0	MED80
20	50	1	0	83	0	SILV
20	20	1	0	83	0	STK20
20	.	1	0	83	0	STK80
23	75	1	1	46	0	GOLD
23	75	1	1	46	0	MED20
23	85	1	1	46	0	MED80
23	60	1	1	46	0	SILV
23	75	1	1	46	0	STK20
23	75	1	1	46	0	STK80
27	80	1	0	47	3	GOLD
27	80	1	0	47	3	MED20
27	90	1	0	47	3	MED80
27	0	1	0	47	3	SILV
27	10	1	0	47	3	STK20
27	10	1	0	47	3	STK80
29	90	1	1	48	3	GOLD
29	100	1	1	48	3	MED20
29	90	1	1	48	3	MED80
29	90	1	1	48	3	SILV
29	75	1	1	48	3	STK20
29	70	1	1	48	3	STK80
32	70	1	1	61	0	GOLD
32	35	1	1	61	0	MED20
32	90	1	1	61	0	MED80
32	2	1	1	61	0	SILV
32	15	1	1	61	0	STK20
32	55	1	1	61	0	STK80
34	50	1	1	67	0	GOLD
34	50	1	1	67	0	MED20
34	90	1	1	67	0	MED80
34	90	1	1	67	0	SILV
34	5	1	1	67	0	STK20
34	20	1	1	67	0	STK80
35	5	1	0	50	3	GOLD
35	70	1	0	50	3	MED20
35	90	1	0	50	3	MED80
35	5	1	0	50	3	SILV
35	5	1	0	50	3	STK20
35	70	1	0	50	3	STK80
39	20	1	1	76	3	GOLD
39	30	1	1	76	3	MED20
39	30	1	1	76	3	MED80
39	10	1	1	76	3	SILV
39	20	1	1	76	3	STK20
39	10	1	1	76	3	STK80
40	20	1	1	62	0	GOLD
40	85	1	1	62	0	MED20
40	.	1	1	62	0	MED80
40	20	1	1	62	0	SILV
40	.	1	1	62	0	STK20
40	20	1	1	62	0	STK80
41	34	1	0	61	3	GOLD
41	59	1	0	61	3	MED20
41	30	1	0	61	3	MED80
41	18	1	0	61	3	SILV
41	28	1	0	61	3	STK20
41	30	1	0	61	3	STK80
42	80	1	0	59	0	GOLD
42	80	1	0	59	0	MED20
42	85	1	0	59	0	MED80
42	2	1	0	59	0	SILV
42	10	1	0	59	0	STK20
42	10	1	0	59	0	STK80
46	10	1	1	37	3	GOLD
46	95	1	1	37	3	MED20
46	90	1	1	37	3	MED80
46	2	1	1	37	3	SILV
46	10	1	1	37	3	STK20
46	90	1	1	37	3	STK80
48	35	1	1	70	3	GOLD
48	50	1	1	70	3	MED20
48	85	1	1	70	3	MED80
48	40	1	1	70	3	SILV
48	36	1	1	70	3	STK20
48	80	1	1	70	3	STK80
54	85	1	1	64	0	GOLD
54	30	1	1	64	0	MED20
54	95	1	1	64	0	MED80
54	85	1	1	64	0	SILV
54	10	1	1	64	0	STK20
54	95	1	1	64	0	STK80
55	40	1	0	52	0	GOLD
55	40	1	0	52	0	MED20
