subject,sex,class,age,test_score,hours_slept,test_difficulty
sub01,0,math,13.2,0.61,6.5,3
sub01,0,science,13.2,0.72,7.8,3
sub01,0,history,13.2,0.94,7.4,1
sub01,0,english,13.2,0.78,7.6,1
sub01,0,art,13.2,1.03,7.7,0
sub02,1,math,14.6,0.71,8,3
sub02,1,science,14.6,0.75,8.1,1
sub02,1,history,14.6,0.86,7.6,1
sub02,1,english,14.6,0.87,7.4,1
sub02,1,art,14.6,0.96,7.3,1
sub03,0,math,14.2,0.68,5.7,3
sub03,0,science,14.2,0.74,7.8,2
sub03,0,history,14.2,0.94,7.8,1
sub03,0,english,14.2,0.85,7.3,1
sub03,0,art,14.2,0.99,7.3,1
sub04,1,math,13.3,0.65,6.1,4
sub04,1,science,13.3,0.78,7.4,2
sub04,1,history,13.3,0.94,7.5,2
sub04,1,english,13.3,0.77,7.9,1
sub04,1,art,13.3,0.96,7.4,0
sub05,0,math,14.2,0.73,8.3,2
sub05,0,science,14.2,0.74,7.8,1
sub05,0,history,14.2,0.86,7.1,3
sub05,0,english,14.2,0.89,7.9,1
sub05,0,art,14.2,0.9,8,0
sub06,1,math,14.8,0.68,6.4,3
sub06,1,science,14.8,0.76,7.5,2
sub06,1,history,14.8,0.83,7.6,0
sub06,1,english,14.8,0.82,7.9,1
sub06,1,art,14.8,0.91,7.2,2
sub07,0,math,13.8,0.73,8,4
sub07,0,science,13.8,0.8,7.2,1
sub07,0,history,13.8,0.83,7.7,1
sub07,0,english,13.8,0.78,7.8,0
sub07,0,art,13.8,0.93,7.5,1
sub08,1,math,13.9,0.74,8,5
sub08,1,science,13.9,0.83,7.5,2
sub08,1,history,13.9,0.84,7.3,2
sub08,1,english,13.9,0.89,7.9,2
sub08,1,art,13.9,0.9,7.7,0
sub09,0,math,13.2,0.73,7,3
sub09,0,science,13.2,0.71,7.6,1
sub09,0,history,13.2,0.94,8.1,2
sub09,0,english,13.2,0.78,7.4,2
sub09,0,art,13.2,0.97,7.3,3
sub10,1,math,14.8,0.71,7.8,3
sub10,1,science,14.8,0.74,7.5,1
sub10,1,history,14.8,0.81,7.4,2
sub10,1,english,14.8,0.86,7.7,1
sub10,1,art,14.8,0.93,8.1,3
sub11,0,math,14.5,0.73,8,4
sub11,0,science,14.5,0.77,7.2,2
sub11,0,history,14.5,0.95,7.7,0
sub11,0,english,14.5,0.77,7.3,0
sub11,0,art,14.5,0.89,7.8,2
sub12,1,math,14.2,0.69,5.8,4
sub12,1,science,14.2,0.79,8,2
sub12,1,history,14.2,0.81,7.3,1
sub12,1,english,14.2,0.86,7.3,2
sub12,1,art,14.2,0.9,8,0
sub13,0,math,14,0.68,6,4
sub13,0,science,14,0.83,7.6,2
sub13,0,history,14,0.82,7.9,2
sub13,0,english,14,0.89,7.8,1
sub13,0,art,14,1,8,2
sub14,1,math,13.6,0.73,7.9,4
sub14,1,science,13.6,0.73,7.4,2
sub14,1,history,13.6,0.95,8,1
sub14,1,english,13.6,0.86,7.7,1
sub14,1,art,13.6,0.93,8.2,0
sub15,0,math,14.5,0.72,7.3,4
sub15,0,science,14.5,0.83,7.8,0
sub15,0,history,14.5,0.94,7.4,2
sub15,0,english,14.5,0.78,7.4,2
sub15,0,art,14.5,0.9,7.9,2
sub16,1,math,14.2,0.72,7.3,4
sub16,1,science,14.2,0.82,7.2,3
sub16,1,history,14.2,0.82,7.7,3
sub16,1,english,14.2,0.79,7,2
sub16,1,art,14.2,0.99,7.9,2
sub17,0,math,14.3,0.62,6.7,2
sub17,0,science,14.3,0.7,7.3,1
sub17,0,history,14.3,0.94,7.3,2
sub17,0,english,14.3,0.77,8.1,1
sub17,0,art,14.3,1.01,8,2
sub18,1,math,13.1,0.63,5.7,4
sub18,1,science,13.1,0.76,7.6,1
sub18,1,history,13.1,0.84,7.6,2
sub18,1,english,13.1,0.87,8,2
sub18,1,art,13.1,0.97,7.5,1
sub19,0,math,13.4,0.64,6.4,4
sub19,0,science,13.4,0.76,7.5,1
sub19,0,history,13.4,0.87,7.4,2
sub19,0,english,13.4,0.89,7,0
sub19,0,art,13.4,0.95,7.5,1
sub20,1,math,13.2,0.74,7.9,4
sub20,1,science,13.2,0.75,7.4,0
sub20,1,history,13.2,0.92,7.3,1
sub20,1,english,13.2,0.87,8.2,1
sub20,1,art,13.2,0.94,7.5,1
