subject,sex,class,age,test_score,hours_slept,test_difficulty
sub01,0,math,13.2,0.64,6.2,3
sub01,0,science,13.2,0.83,8.1,2
sub01,0,history,13.2,0.86,7.3,1
sub01,0,english,13.2,0.85,7.9,2
sub01,0,art,13.2,0.92,7.4,3
sub02,1,math,14.6,0.7,7.7,4
sub02,1,science,14.6,0.8,8,1
sub02,1,history,14.6,0.88,7.2,1
sub02,1,english,14.6,0.88,8.1,0
sub02,1,art,14.6,1.01,7.3,1
sub03,0,math,14.2,0.75,7.3,4
sub03,0,science,14.2,0.79,7.5,2
sub03,0,history,14.2,0.9,7.7,1
sub03,0,english,14.2,0.77,7.8,1
sub03,0,art,14.2,0.92,7.1,0
sub04,1,math,13.3,0.61,6.7,3
sub04,1,science,13.3,0.82,7.1,1
sub04,1,history,13.3,0.87,8.1,1
sub04,1,english,13.3,0.87,7.8,0
sub04,1,art,13.3,0.91,7.9,2
sub05,0,math,14.2,0.67,5.7,5
sub05,0,science,14.2,0.8,7.6,1
sub05,0,history,14.2,0.82,7.9,0
sub05,0,english,14.2,0.81,8,1
sub05,0,art,14.2,1,7.6,3
sub06,1,math,14.8,0.73,8,4
sub06,1,science,14.8,0.82,7.9,0
sub06,1,history,14.8,0.94,7.5,2
sub06,1,english,14.8,0.81,7.5,1
sub06,1,art,14.8,NA,8.1,1
sub07,0,math,13.8,0.71,7.4,3
sub07,0,science,13.8,0.76,7.9,1
sub07,0,history,13.8,0.86,8,2
sub07,0,english,13.8,0.79,7.3,1
sub07,0,art,13.8,1,7.7,3
sub08,1,math,13.9,0.67,5.8,4
sub08,1,science,13.9,0.76,7.4,0
sub08,1,history,13.9,0.82,7.3,0
sub08,1,english,13.9,0.81,7.6,2
sub08,1,art,13.9,1.02,7.8,2
sub09,0,math,13.2,0.69,6.6,3
sub09,0,science,13.2,0.7,7.4,2
sub09,0,history,13.2,0.86,7.2,2
sub09,0,english,13.2,0.78,7.3,NA
sub09,0,art,13.2,0.93,7.3,1
sub10,1,math,14.8,0.71,7.1,5
sub10,1,science,14.8,0.75,7.3,2
sub10,1,history,14.8,0.9,8,2
sub10,1,english,14.8,0.83,7.3,2
sub10,1,art,14.8,1,NA,2
sub11,0,math,14.5,0.69,6.5,5
sub11,0,science,14.5,0.72,8.1,1
sub11,0,history,14.5,NA,7.7,3
sub11,0,english,14.5,0.77,7.4,1
sub11,0,art,14.5,0.9,7.6,2
sub12,1,math,14.2,0.73,7.4,3
sub12,1,science,14.2,0.76,7.7,2
sub12,1,history,14.2,0.91,7.1,1
sub12,1,english,14.2,0.86,7.4,2
sub12,1,art,14.2,1.03,7.8,2
sub13,0,math,NA,0.74,7.5,2
sub13,0,science,NA,0.72,7.6,1
sub13,0,history,NA,0.9,8,3
sub13,0,english,NA,0.76,7.3,3
sub13,0,art,NA,0.96,7.4,1
sub14,1,math,13.6,0.72,7.8,2
sub14,1,science,13.6,0.75,7.7,1
sub14,1,history,13.6,0.94,7.7,1
sub14,1,english,13.6,0.85,7.4,2
sub14,1,art,13.6,0.95,7.4,2
sub15,0,math,14.5,0.73,7.8,4
sub15,0,science,14.5,0.81,7.2,1
sub15,0,history,14.5,0.87,7.2,0
sub15,0,english,14.5,0.81,8,1
sub15,0,art,14.5,0.97,7.3,1
sub16,1,math,14.2,0.73,7.1,4
sub16,1,science,14.2,0.78,8.2,1
sub16,1,history,14.2,0.9,7.3,2
sub16,1,english,14.2,0.87,7.8,1
sub16,1,art,14.2,0.99,8,0
sub17,0,math,14.3,0.73,7.3,4
sub17,0,science,14.3,0.71,8.2,1
sub17,0,history,14.3,0.9,7.8,1
sub17,0,english,14.3,0.79,7.4,1
sub17,0,art,14.3,0.96,7.3,1
sub18,1,math,13.1,0.65,6.3,NA
sub18,1,science,13.1,0.83,7.1,1
sub18,1,history,13.1,0.87,7.6,0
sub18,1,english,13.1,0.84,7.6,0
sub18,1,art,13.1,0.9,8,1
sub19,0,math,13.4,0.74,7.8,4
sub19,0,science,13.4,0.8,8,2
sub19,0,history,13.4,0.88,7.7,2
sub19,0,english,13.4,0.79,8.2,0
sub19,0,art,13.4,0.99,8.3,1
sub20,1,math,13.2,0.7,8,3
sub20,1,science,13.2,0.71,7.1,0
sub20,1,history,13.2,0.82,7.8,1
sub20,1,english,13.2,0.82,8,1
sub20,1,art,13.2,0.92,7.2,2
