"sub","condition","trials","RT"
"sub01","caffeine",1,216
"sub01","caffeine",2,97
"sub01","caffeine",3,365
"sub01","caffeine",4,353
"sub01","caffeine",5,253
"sub01","caffeine",6,364
"sub01","caffeine",7,303
"sub01","caffeine",8,301
"sub01","caffeine",9,251
"sub01","caffeine",10,325
"sub01","caffeine",11,225
"sub01","caffeine",12,202
"sub01","caffeine",13,215
"sub01","caffeine",14,270
"sub01","caffeine",15,341
"sub01","caffeine",16,215
"sub01","caffeine",17,234
"sub01","caffeine",18,295
"sub01","caffeine",19,353
"sub01","caffeine",20,369
"sub01","caffeine",21,363
"sub01","caffeine",22,253
"sub01","caffeine",23,346
"sub01","caffeine",24,287
"sub01","caffeine",25,252
"sub01","caffeine",26,284
"sub01","caffeine",27,365
"sub01","caffeine",28,311
"sub01","caffeine",29,358
"sub01","caffeine",30,345
"sub01","caffeine",31,192
"sub01","caffeine",32,330
"sub01","caffeine",33,201
"sub01","caffeine",34,203
"sub01","caffeine",35,291
"sub01","caffeine",36,315
"sub01","caffeine",37,191
"sub01","caffeine",38,332
"sub01","caffeine",39,247
"sub01","caffeine",40,267
"sub01","caffeine",41,362
"sub01","caffeine",42,275
"sub01","caffeine",43,337
"sub01","caffeine",44,350
"sub01","caffeine",45,203
"sub01","caffeine",46,193
"sub01","caffeine",47,331
"sub01","caffeine",48,285
"sub01","caffeine",49,305
"sub01","caffeine",50,348
"sub01","caffeine",51,224
"sub01","caffeine",52,278
"sub01","caffeine",53,328
"sub01","caffeine",54,332
"sub01","caffeine",55,204
"sub01","caffeine",56,290
"sub01","caffeine",57,348
"sub01","caffeine",58,331
"sub01","caffeine",59,318
"sub01","caffeine",60,287
"sub01","caffeine",61,289
"sub01","caffeine",62,333
"sub01","caffeine",63,243
"sub01","caffeine",64,247
"sub01","caffeine",65,281
"sub01","caffeine",66,233
"sub01","caffeine",67,348
"sub01","caffeine",68,332
"sub01","caffeine",69,230
"sub01","caffeine",70,275
"sub01","caffeine",71,324
"sub01","caffeine",72,302
"sub01","caffeine",73,256
"sub01","caffeine",74,199
"sub01","caffeine",75,311
"sub01","caffeine",76,228
"sub01","caffeine",77,550
"sub01","caffeine",78,280
"sub01","caffeine",79,216
"sub01","caffeine",80,334
"sub01","caffeine",81,331
"sub01","caffeine",82,333
"sub01","caffeine",83,294
"sub01","caffeine",84,176
"sub01","caffeine",85,332
"sub01","caffeine",86,249
"sub01","caffeine",87,313
"sub01","caffeine",88,219
"sub01","caffeine",89,345
"sub01","caffeine",90,231
"sub01","caffeine",91,302
"sub01","caffeine",92,335
"sub01","caffeine",93,350
"sub01","caffeine",94,325
"sub01","caffeine",95,278
"sub01","caffeine",96,211
"sub01","caffeine",97,368
"sub01","caffeine",98,355
"sub01","caffeine",99,307
"sub01","caffeine",100,229
"sub02","caffeine",1,199
"sub02","caffeine",2,234
"sub02","caffeine",3,351
"sub02","caffeine",4,249
"sub02","caffeine",5,293
"sub02","caffeine",6,368
"sub02","caffeine",7,316
"sub02","caffeine",8,246
"sub02","caffeine",9,318
"sub02","caffeine",10,233
"sub02","caffeine",11,246
"sub02","caffeine",12,202
"sub02","caffeine",13,346
"sub02","caffeine",14,302
"sub02","caffeine",15,287
"sub02","caffeine",16,217
"sub02","caffeine",17,368
"sub02","caffeine",18,246
"sub02","caffeine",19,251
"sub02","caffeine",20,291
"sub02","caffeine",21,211
"sub02","caffeine",22,322
"sub02","caffeine",23,291
"sub02","caffeine",24,294
"sub02","caffeine",25,256
"sub02","caffeine",26,249
"sub02","caffeine",27,334
"sub02","caffeine",28,356
"sub02","caffeine",29,250
"sub02","caffeine",30,209
"sub02","caffeine",31,203
"sub02","caffeine",32,194
"sub02","caffeine",33,255
"sub02","caffeine",34,230
"sub02","caffeine",35,210
"sub02","caffeine",36,264
"sub02","caffeine",37,367
"sub02","caffeine",38,282
"sub02","caffeine",39,247
"sub02","caffeine",40,296
"sub02","caffeine",41,274
"sub02","caffeine",42,268
"sub02","caffeine",43,336
"sub02","caffeine",44,232
"sub02","caffeine",45,80
"sub02","caffeine",46,234
"sub02","caffeine",47,352
"sub02","caffeine",48,304
"sub02","caffeine",49,230
"sub02","caffeine",50,232
"sub02","caffeine",51,219
"sub02","caffeine",52,195
"sub02","caffeine",53,354
"sub02","caffeine",54,317
"sub02","caffeine",55,277
"sub02","caffeine",56,190
"sub02","caffeine",57,343
"sub02","caffeine",58,287
"sub02","caffeine",59,359
"sub02","caffeine",60,95
"sub02","caffeine",61,253
"sub02","caffeine",62,308
"sub02","caffeine",63,226
"sub02","caffeine",64,253
"sub02","caffeine",65,356
"sub02","caffeine",66,195
"sub02","caffeine",67,225
"sub02","caffeine",68,282
"sub02","caffeine",69,284
"sub02","caffeine",70,282
"sub02","caffeine",71,203
"sub02","caffeine",72,240
"sub02","caffeine",73,293
"sub02","caffeine",74,369
"sub02","caffeine",75,320
"sub02","caffeine",76,214
"sub02","caffeine",77,321
"sub02","caffeine",78,244
"sub02","caffeine",79,289
"sub02","caffeine",80,203
"sub02","caffeine",81,295
"sub02","caffeine",82,317
"sub02","caffeine",83,220
"sub02","caffeine",84,238
"sub02","caffeine",85,235
"sub02","caffeine",86,356
"sub02","caffeine",87,309
"sub02","caffeine",88,242
"sub02","caffeine",89,275
"sub02","caffeine",90,263
"sub02","caffeine",91,330
"sub02","caffeine",92,290
"sub02","caffeine",93,304
"sub02","caffeine",94,311
"sub02","caffeine",95,266
"sub02","caffeine",96,224
"sub02","caffeine",97,322
"sub02","caffeine",98,330
"sub02","caffeine",99,208
"sub02","caffeine",100,295
"sub03","caffeine",1,319
"sub03","caffeine",2,199
"sub03","caffeine",3,337
"sub03","caffeine",4,212
"sub03","caffeine",5,229
"sub03","caffeine",6,220
"sub03","caffeine",7,255
"sub03","caffeine",8,344
"sub03","caffeine",9,219
"sub03","caffeine",10,350
"sub03","caffeine",11,320
"sub03","caffeine",12,271
"sub03","caffeine",13,228
"sub03","caffeine",14,320
"sub03","caffeine",15,265
"sub03","caffeine",16,331
"sub03","caffeine",17,258
"sub03","caffeine",18,276
"sub03","caffeine",19,238
"sub03","caffeine",20,368
"sub03","caffeine",21,308
"sub03","caffeine",22,222
"sub03","caffeine",23,303
"sub03","caffeine",24,204
"sub03","caffeine",25,207
"sub03","caffeine",26,295
"sub03","caffeine",27,281
"sub03","caffeine",28,316
"sub03","caffeine",29,366
"sub03","caffeine",30,202
"sub03","caffeine",31,351
"sub03","caffeine",32,317
"sub03","caffeine",33,289
"sub03","caffeine",34,311
"sub03","caffeine",35,301
"sub03","caffeine",36,198
"sub03","caffeine",37,305
"sub03","caffeine",38,240
"sub03","caffeine",39,204
"sub03","caffeine",40,241
"sub03","caffeine",41,281
"sub03","caffeine",42,301
"sub03","caffeine",43,221
"sub03","caffeine",44,260
"sub03","caffeine",45,306
"sub03","caffeine",46,216
"sub03","caffeine",47,192
"sub03","caffeine",48,312
"sub03","caffeine",49,233
"sub03","caffeine",50,191
"sub03","caffeine",51,339
"sub03","caffeine",52,284
"sub03","caffeine",53,331
"sub03","caffeine",54,345
"sub03","caffeine",55,308
"sub03","caffeine",56,275
"sub03","caffeine",57,359
"sub03","caffeine",58,296
"sub03","caffeine",59,278
"sub03","caffeine",60,231
"sub03","caffeine",61,258
"sub03","caffeine",62,216
"sub03","caffeine",63,362
"sub03","caffeine",64,215
"sub03","caffeine",65,331
"sub03","caffeine",66,221
"sub03","caffeine",67,317
"sub03","caffeine",68,343
"sub03","caffeine",69,339
"sub03","caffeine",70,353
"sub03","caffeine",71,317
"sub03","caffeine",72,194
"sub03","caffeine",73,313
"sub03","caffeine",74,366
"sub03","caffeine",75,296
"sub03","caffeine",76,272
"sub03","caffeine",77,350
"sub03","caffeine",78,332
"sub03","caffeine",79,284
"sub03","caffeine",80,259
"sub03","caffeine",81,358
"sub03","caffeine",82,367
"sub03","caffeine",83,359
"sub03","caffeine",84,268
"sub03","caffeine",85,202
"sub03","caffeine",86,368
"sub03","caffeine",87,317
