sub,condition,trials,RT
sub01,caffeine,1,216
sub01,caffeine,2,97
sub01,caffeine,3,365
sub01,caffeine,4,353
sub01,caffeine,5,253
sub01,caffeine,6,364
sub01,caffeine,7,303
sub01,caffeine,8,301
sub01,caffeine,9,251
sub01,caffeine,10,325
sub01,caffeine,11,225
sub01,caffeine,12,202
sub01,caffeine,13,215
sub01,caffeine,14,270
sub01,caffeine,15,341
sub01,caffeine,16,215
sub01,caffeine,17,234
sub01,caffeine,18,295
sub01,caffeine,19,353
sub01,caffeine,20,369
sub01,caffeine,21,363
sub01,caffeine,22,253
sub01,caffeine,23,346
sub01,caffeine,24,287
sub01,caffeine,25,252
sub01,caffeine,26,284
sub01,caffeine,27,365
sub01,caffeine,28,311
sub01,caffeine,29,358
sub01,caffeine,30,345
sub01,caffeine,31,192
sub01,caffeine,32,330
sub01,caffeine,33,201
sub01,caffeine,34,203
sub01,caffeine,35,291
sub01,caffeine,36,315
sub01,caffeine,37,191
sub01,caffeine,38,332
sub01,caffeine,39,247
sub01,caffeine,40,267
sub01,caffeine,41,362
sub01,caffeine,42,275
sub01,caffeine,43,337
sub01,caffeine,44,350
sub01,caffeine,45,203
sub01,caffeine,46,193
sub01,caffeine,47,331
sub01,caffeine,48,285
sub01,caffeine,49,305
sub01,caffeine,50,348
sub01,caffeine,51,224
sub01,caffeine,52,278
sub01,caffeine,53,328
sub01,caffeine,54,332
sub01,caffeine,55,204
sub01,caffeine,56,290
sub01,caffeine,57,348
sub01,caffeine,58,331
sub01,caffeine,59,318
sub01,caffeine,60,287
sub01,caffeine,61,289
sub01,caffeine,62,333
sub01,caffeine,63,243
sub01,caffeine,64,247
sub01,caffeine,65,281
sub01,caffeine,66,233
sub01,caffeine,67,348
sub01,caffeine,68,332
sub01,caffeine,69,230
sub01,caffeine,70,275
sub01,caffeine,71,324
sub01,caffeine,72,302
sub01,caffeine,73,256
sub01,caffeine,74,199
sub01,caffeine,75,311
sub01,caffeine,76,228
sub01,caffeine,77,550
sub01,caffeine,78,280
sub01,caffeine,79,216
sub01,caffeine,80,334
sub01,caffeine,81,331
sub01,caffeine,82,333
sub01,caffeine,83,294
sub01,caffeine,84,176
sub01,caffeine,85,332
sub01,caffeine,86,249
sub01,caffeine,87,313
sub01,caffeine,88,219
sub01,caffeine,89,345
sub01,caffeine,90,231
sub01,caffeine,91,302
sub01,caffeine,92,335
sub01,caffeine,93,350
sub01,caffeine,94,325
sub01,caffeine,95,278
sub01,caffeine,96,211
sub01,caffeine,97,368
sub01,caffeine,98,355
sub01,caffeine,99,307
sub01,caffeine,100,229
