"sub","condition","trials","RT"
"sub30","no_caffeine",1,329
"sub30","no_caffeine",2,353
"sub30","no_caffeine",3,352
"sub30","no_caffeine",4,332
"sub30","no_caffeine",5,397
"sub30","no_caffeine",6,221
"sub30","no_caffeine",7,277
"sub30","no_caffeine",8,213
"sub30","no_caffeine",9,230
"sub30","no_caffeine",10,322
"sub30","no_caffeine",11,341
"sub30","no_caffeine",12,365
"sub30","no_caffeine",13,288
"sub30","no_caffeine",14,390
"sub30","no_caffeine",15,225
"sub30","no_caffeine",16,226
"sub30","no_caffeine",17,276
"sub30","no_caffeine",18,288
"sub30","no_caffeine",19,196
"sub30","no_caffeine",20,371
"sub30","no_caffeine",21,407
"sub30","no_caffeine",22,299
"sub30","no_caffeine",23,362
"sub30","no_caffeine",24,301
"sub30","no_caffeine",25,410
"sub30","no_caffeine",26,327
"sub30","no_caffeine",27,329
"sub30","no_caffeine",28,388
"sub30","no_caffeine",29,227
"sub30","no_caffeine",30,311
"sub30","no_caffeine",31,290
"sub30","no_caffeine",32,361
"sub30","no_caffeine",33,367
"sub30","no_caffeine",34,221
"sub30","no_caffeine",35,406
"sub30","no_caffeine",36,325
"sub30","no_caffeine",37,346
"sub30","no_caffeine",38,408
"sub30","no_caffeine",39,415
"sub30","no_caffeine",40,281
"sub30","no_caffeine",41,266
"sub30","no_caffeine",42,201
"sub30","no_caffeine",43,199
"sub30","no_caffeine",44,304
"sub30","no_caffeine",45,262
"sub30","no_caffeine",46,305
"sub30","no_caffeine",47,328
"sub30","no_caffeine",48,393
"sub30","no_caffeine",49,219
"sub30","no_caffeine",50,389
"sub30","no_caffeine",51,248
"sub30","no_caffeine",52,183
"sub30","no_caffeine",53,257
"sub30","no_caffeine",54,222
"sub30","no_caffeine",55,345
"sub30","no_caffeine",56,274
"sub30","no_caffeine",57,265
"sub30","no_caffeine",58,391
"sub30","no_caffeine",59,302
"sub30","no_caffeine",60,240
"sub30","no_caffeine",61,414
"sub30","no_caffeine",62,229
"sub30","no_caffeine",63,404
"sub30","no_caffeine",64,290
"sub30","no_caffeine",65,259
"sub30","no_caffeine",66,418
"sub30","no_caffeine",67,254
"sub30","no_caffeine",68,224
"sub30","no_caffeine",69,396
"sub30","no_caffeine",70,280
"sub30","no_caffeine",71,294
"sub30","no_caffeine",72,202
"sub30","no_caffeine",73,346
"sub30","no_caffeine",74,300
"sub30","no_caffeine",75,320
"sub30","no_caffeine",76,224
"sub30","no_caffeine",77,201
"sub30","no_caffeine",78,339
"sub30","no_caffeine",79,356
"sub30","no_caffeine",80,275
"sub30","no_caffeine",81,270
"sub30","no_caffeine",82,318
"sub30","no_caffeine",83,247
"sub30","no_caffeine",84,281
"sub30","no_caffeine",85,352
"sub30","no_caffeine",86,334
"sub30","no_caffeine",87,383
"sub30","no_caffeine",88,211
"sub30","no_caffeine",89,312
"sub30","no_caffeine",90,239
"sub30","no_caffeine",91,390
"sub30","no_caffeine",92,348
"sub30","no_caffeine",93,353
"sub30","no_caffeine",94,190
"sub30","no_caffeine",95,405
"sub30","no_caffeine",96,392
"sub30","no_caffeine",97,329
"sub30","no_caffeine",98,367
"sub30","no_caffeine",99,330
"sub30","no_caffeine",100,258
