"","subject","sex","age","classes","test_score","hours_slept","test_difficulty"
"sub01.0.13.2.art","sub01",0,13.2,"art",1.03,7.7,0
"sub02.1.14.6.art","sub02",1,14.6,"art",0.96,7.3,1
"sub03.0.14.2.art","sub03",0,14.2,"art",0.99,7.3,1
"sub04.1.13.3.art","sub04",1,13.3,"art",0.96,7.4,0
"sub05.0.14.2.art","sub05",0,14.2,"art",0.9,8,0
"sub06.1.14.8.art","sub06",1,14.8,"art",0.91,7.2,2
"sub07.0.13.8.art","sub07",0,13.8,"art",0.93,7.5,1
"sub08.1.13.9.art","sub08",1,13.9,"art",0.9,7.7,0
"sub09.0.13.2.art","sub09",0,13.2,"art",0.97,7.3,3
"sub10.1.14.8.art","sub10",1,14.8,"art",0.93,8.1,3
"sub11.0.14.5.art","sub11",0,14.5,"art",0.89,7.8,2
"sub12.1.14.2.art","sub12",1,14.2,"art",0.9,8,0
"sub13.0.14.art","sub13",0,14,"art",1,8,2
"sub14.1.13.6.art","sub14",1,13.6,"art",0.93,8.2,0
"sub15.0.14.5.art","sub15",0,14.5,"art",0.9,7.9,2
"sub16.1.14.2.art","sub16",1,14.2,"art",0.99,7.9,2
"sub17.0.14.3.art","sub17",0,14.3,"art",1.01,8,2
"sub18.1.13.1.art","sub18",1,13.1,"art",0.97,7.5,1
"sub19.0.13.4.art","sub19",0,13.4,"art",0.95,7.5,1
"sub20.1.13.2.art","sub20",1,13.2,"art",0.94,7.5,1
"sub01.0.13.2.english","sub01",0,13.2,"english",0.78,7.6,1
"sub02.1.14.6.english","sub02",1,14.6,"english",0.87,7.4,1
"sub03.0.14.2.english","sub03",0,14.2,"english",0.85,7.3,1
"sub04.1.13.3.english","sub04",1,13.3,"english",0.77,7.9,1
"sub05.0.14.2.english","sub05",0,14.2,"english",0.89,7.9,1
"sub06.1.14.8.english","sub06",1,14.8,"english",0.82,7.9,1
"sub07.0.13.8.english","sub07",0,13.8,"english",0.78,7.8,0
"sub08.1.13.9.english","sub08",1,13.9,"english",0.89,7.9,2
"sub09.0.13.2.english","sub09",0,13.2,"english",0.78,7.4,2
"sub10.1.14.8.english","sub10",1,14.8,"english",0.86,7.7,1
"sub11.0.14.5.english","sub11",0,14.5,"english",0.77,7.3,0
"sub12.1.14.2.english","sub12",1,14.2,"english",0.86,7.3,2
"sub13.0.14.english","sub13",0,14,"english",0.89,7.8,1
"sub14.1.13.6.english","sub14",1,13.6,"english",0.86,7.7,1
"sub15.0.14.5.english","sub15",0,14.5,"english",0.78,7.4,2
"sub16.1.14.2.english","sub16",1,14.2,"english",0.79,7,2
"sub17.0.14.3.english","sub17",0,14.3,"english",0.77,8.1,1
"sub18.1.13.1.english","sub18",1,13.1,"english",0.87,8,2
"sub19.0.13.4.english","sub19",0,13.4,"english",0.89,7,0
"sub20.1.13.2.english","sub20",1,13.2,"english",0.87,8.2,1
"sub01.0.13.2.history","sub01",0,13.2,"history",0.94,7.4,1
"sub02.1.14.6.history","sub02",1,14.6,"history",0.86,7.6,1
"sub03.0.14.2.history","sub03",0,14.2,"history",0.94,7.8,1
"sub04.1.13.3.history","sub04",1,13.3,"history",0.94,7.5,2
"sub05.0.14.2.history","sub05",0,14.2,"history",0.86,7.1,3
"sub06.1.14.8.history","sub06",1,14.8,"history",0.83,7.6,0
"sub07.0.13.8.history","sub07",0,13.8,"history",0.83,7.7,1
"sub08.1.13.9.history","sub08",1,13.9,"history",0.84,7.3,2
"sub09.0.13.2.history","sub09",0,13.2,"history",0.94,8.1,2
"sub10.1.14.8.history","sub10",1,14.8,"history",0.81,7.4,2
"sub11.0.14.5.history","sub11",0,14.5,"history",0.95,7.7,0
"sub12.1.14.2.history","sub12",1,14.2,"history",0.81,7.3,1
"sub13.0.14.history","sub13",0,14,"history",0.82,7.9,2
"sub14.1.13.6.history","sub14",1,13.6,"history",0.95,8,1
"sub15.0.14.5.history","sub15",0,14.5,"history",0.94,7.4,2
"sub16.1.14.2.history","sub16",1,14.2,"history",0.82,7.7,3
"sub17.0.14.3.history","sub17",0,14.3,"history",0.94,7.3,2
"sub18.1.13.1.history","sub18",1,13.1,"history",0.84,7.6,2
"sub19.0.13.4.history","sub19",0,13.4,"history",0.87,7.4,2
"sub20.1.13.2.history","sub20",1,13.2,"history",0.92,7.3,1
"sub01.0.13.2.math","sub01",0,13.2,"math",0.61,6.5,3
"sub02.1.14.6.math","sub02",1,14.6,"math",0.71,8,3
"sub03.0.14.2.math","sub03",0,14.2,"math",0.68,5.7,3
"sub04.1.13.3.math","sub04",1,13.3,"math",0.65,6.1,4
"sub05.0.14.2.math","sub05",0,14.2,"math",0.73,8.3,2
"sub06.1.14.8.math","sub06",1,14.8,"math",0.68,6.4,3
"sub07.0.13.8.math","sub07",0,13.8,"math",0.73,8,4
"sub08.1.13.9.math","sub08",1,13.9,"math",0.74,8,5
"sub09.0.13.2.math","sub09",0,13.2,"math",0.73,7,3
"sub10.1.14.8.math","sub10",1,14.8,"math",0.71,7.8,3
"sub11.0.14.5.math","sub11",0,14.5,"math",0.73,8,4
"sub12.1.14.2.math","sub12",1,14.2,"math",0.69,5.8,4
"sub13.0.14.math","sub13",0,14,"math",0.68,6,4
"sub14.1.13.6.math","sub14",1,13.6,"math",0.73,7.9,4
"sub15.0.14.5.math","sub15",0,14.5,"math",0.72,7.3,4
"sub16.1.14.2.math","sub16",1,14.2,"math",0.72,7.3,4
"sub17.0.14.3.math","sub17",0,14.3,"math",0.62,6.7,2
"sub18.1.13.1.math","sub18",1,13.1,"math",0.63,5.7,4
"sub19.0.13.4.math","sub19",0,13.4,"math",0.64,6.4,4
"sub20.1.13.2.math","sub20",1,13.2,"math",0.74,7.9,4
"sub01.0.13.2.science","sub01",0,13.2,"science",0.72,7.8,3
"sub02.1.14.6.science","sub02",1,14.6,"science",0.75,8.1,1
"sub03.0.14.2.science","sub03",0,14.2,"science",0.74,7.8,2
"sub04.1.13.3.science","sub04",1,13.3,"science",0.78,7.4,2
"sub05.0.14.2.science","sub05",0,14.2,"science",0.74,7.8,1
"sub06.1.14.8.science","sub06",1,14.8,"science",0.76,7.5,2
"sub07.0.13.8.science","sub07",0,13.8,"science",0.8,7.2,1
"sub08.1.13.9.science","sub08",1,13.9,"science",0.83,7.5,2
"sub09.0.13.2.science","sub09",0,13.2,"science",0.71,7.6,1
"sub10.1.14.8.science","sub10",1,14.8,"science",0.74,7.5,1
"sub11.0.14.5.science","sub11",0,14.5,"science",0.77,7.2,2
"sub12.1.14.2.science","sub12",1,14.2,"science",0.79,8,2
"sub13.0.14.science","sub13",0,14,"science",0.83,7.6,2
"sub14.1.13.6.science","sub14",1,13.6,"science",0.73,7.4,2
"sub15.0.14.5.science","sub15",0,14.5,"science",0.83,7.8,0
"sub16.1.14.2.science","sub16",1,14.2,"science",0.82,7.2,3
"sub17.0.14.3.science","sub17",0,14.3,"science",0.7,7.3,1
"sub18.1.13.1.science","sub18",1,13.1,"science",0.76,7.6,1
"sub19.0.13.4.science","sub19",0,13.4,"science",0.76,7.5,1
"sub20.1.13.2.science","sub20",1,13.2,"science",0.75,7.4,0
