subject,sex,age,classes,test_score,hours_slept,test_difficulty
sub01,0,14.04,art,0.89,7.7,0
sub02,1,13.91,art,0.96,7.3,1
sub03,0,13.67,art,0.89,7.3,1
sub04,1,13.98,art,0.93,7.4,0
sub05,0,13.85,art,0.9,8,0
sub06,1,14.25,art,0.91,7.2,2
sub07,0,14.79,art,0.93,7.5,1
sub08,1,13.62,art,0.75,7.7,0
sub09,0,14.72,art,0.85,7.3,3
sub10,1,14.71,art,0.93,8.1,3
sub11,0,13.69,art,0.89,7.8,2
sub12,1,14.72,art,0.9,8,0
sub13,0,13.65,art,0.9,8,2
sub14,1,14.36,art,0.93,8.2,0
sub15,0,13.76,art,0.9,7.9,2
sub16,1,13.34,art,0.92,7.9,2
sub17,0,14.39,art,0.94,8,2
sub18,1,13.84,art,0.92,7.5,1
sub19,0,13.64,art,0.95,7.5,1
sub20,1,13.66,art,0.85,7.5,1
sub21,0,13.03,english,0.81,7.6,1
sub22,1,13.96,english,0.87,7.4,1
sub23,0,13.82,english,0.85,7.3,1
sub24,1,13.14,english,0.83,7.9,1
sub25,0,14.51,english,0.89,7.9,1
sub26,1,14.56,english,0.82,7.9,1
sub27,0,13.25,english,0.78,7.8,0
sub28,1,13.44,english,0.89,7.9,2
sub29,0,14.56,english,0.78,7.4,2
sub30,1,13.9,english,0.86,7.7,1
sub31,0,13.57,english,0.87,7.3,0
sub32,1,13.56,english,0.86,7.3,2
sub33,0,14.48,english,0.89,7.8,1
sub34,1,13.94,english,0.86,7.7,1
sub35,0,13.73,english,0.78,7.4,2
sub36,1,13.42,english,0.79,7,2
sub37,0,14.5,english,0.87,8.1,1
sub38,1,14.07,english,0.87,8,2
sub39,0,14.48,english,0.89,7,0
sub40,1,14.51,english,0.87,8.2,1
sub41,0,14.39,history,0.94,7.4,1
sub42,1,13,history,0.86,7.6,1
sub43,0,13.57,history,0.94,7.8,1
sub44,1,14.31,history,0.94,7.5,2
sub45,0,14.01,history,0.86,7.1,3
sub46,1,13.14,history,0.83,7.6,0
sub47,0,14.64,history,0.83,7.7,1
sub48,1,13.21,history,0.84,7.3,2
sub49,0,14.03,history,0.9,8.1,2
sub50,1,14.75,history,0.81,7.4,2
sub51,0,14.28,history,0.95,7.7,0
sub52,1,13.88,history,0.81,7.3,1
sub53,0,14.18,history,0.82,7.9,2
sub54,1,13.76,history,0.95,8,1
sub55,0,14.15,history,0.94,7.4,2
sub56,1,14.2,history,0.82,7.7,3
sub57,0,14.09,history,0.94,7.3,2
sub58,1,13.24,history,0.84,7.6,2
sub59,0,13.19,history,0.87,7.4,2
sub60,1,13.04,history,0.92,7.3,1
sub61,0,14.26,math,0.8,6.5,3
sub62,1,14.05,math,0.81,8,3
sub63,0,13.55,math,0.84,5.7,3
sub64,1,14.26,math,0.8,6.1,4
sub65,0,13.9,math,0.83,8.3,2
sub66,1,14.74,math,0.85,6.4,3
sub67,0,13.54,math,0.73,8,4
sub68,1,14.8,math,0.84,8,5
sub69,0,13.69,math,0.73,7,3
sub70,1,14.32,math,0.78,7.8,3
sub71,0,13.19,math,0.87,8,4
sub72,1,14.23,math,0.79,5.8,4
sub73,0,14.27,math,0.88,6,4
sub74,1,13.88,math,0.83,7.9,4
sub75,0,13.88,math,0.8,7.3,4
sub76,1,14.55,math,0.82,7.3,4
sub77,0,14.68,math,0.79,6.7,2
sub78,1,14.3,math,0.78,5.7,4
sub79,0,13.25,math,0.83,6.4,4
sub80,1,14.76,math,0.92,7.9,4
