exper,sex,school,wage
9,female,13,6.315295646
12,female,12,5.479769979
11,female,11,3.642169917
9,female,14,4.5933366
8,female,14,2.418157461
9,female,14,2.09405811
8,female,12,5.51200392
10,female,12,3.54842716
12,female,10,5.81822636
7,female,12,3.8277805
10,female,14,6.73689368
10,female,13,12.86134248
10,female,13,7.655561
9,female,10,2.44977952
10,female,13,6.105662147
3,female,15,8.26800588
9,female,14,1.862405483
13,female,11,3.98089172
10,female,12,4.763460178
11,female,12,6.380595586
8,female,14,5.631123847
7,female,11,2.488057325
7,female,14,1.223738277
5,female,12,1.345653539
5,female,14,0.751111645
10,female,14,11.33023028
11,female,12,3.894757656
6,female,13,2.998515251
11,female,12,3.267896188
9,female,12,1.355197181
10,female,14,4.28711416
11,female,12,7.624938756
11,female,13,4.443786106
5,female,12,1.134281476
5,female,15,9.064184223
12,female,12,3.98089172
11,female,12,3.450705238
4,female,14,8.096728922
10,female,13,8.735213831
9,female,15,7.275845174
12,female,12,5.51200392
8,female,15,9.786358811
7,female,14,7.04311612
8,female,11,0.785271791
9,female,12,4.008730123
10,female,12,3.612151277
15,female,7,3.184713376
6,female,15,5.81822636
10,female,12,2.274795268
7,female,16,5.447892668
9,female,12,2.403557265
8,female,14,9.033561979
10,female,13,4.974095942
7,female,14,9.327612398
10,female,12,5.8734468
9,female,12,3.283209666
8,female,14,2.14355708
5,female,13,2.560573569
5,female,14,9.186673199
3,female,12,2.835191083
10,female,12,5.897617363
7,female,12,2.533294731
8,female,14,8.26800588
8,female,15,14.10205185
9,female,11,0.729323674
7,female,11,4.5933366
7,female,12,3.377726308
10,female,13,3.184713376
13,female,9,5.007410968
5,female,12,2.31896605
9,female,12,3.387992953
10,female,11,2.44977952
9,female,13,5.81822636
10,female,13,5.3588927
7,female,11,7.143282338
6,female,12,5.599636033
8,female,12,3.8277805
6,female,12,8.071322821
9,female,12,3.943917493
11,female,12,6.345541401
7,female,13,5.483612435
9,female,13,6.9801937
9,female,13,10.04701244
11,female,12,5.51200392
8,female,15,6.255686988
11,female,12,3.234474522
8,female,10,1.918321469
4,female,14,11.09104161
8,female,14,5.184417123
9,female,14,5.136634477
9,female,13,4.241819428
7,female,12,3.902835019
11,female,12,6.78035751
9,female,12,1.026185421
10,female,12,4.593064402
11,female,8,0.438681449
9,female,13,7.34933856
8,female,12,4.5933366
7,female,13,4.724574788
6,female,13,4.81721351
4,female,12,8.530482257
7,female,14,6.195187114
10,female,13,4.704690214
10,female,12,5.083341382
6,female,12,5.790387956
7,female,16,5.103707333
7,female,14,6.99083424
9,female,12,4.316205292
8,female,13,7.710027441
5,female,12,5.710983902
8,female,12,1.981929756
6,female,12,5.817587064
9,female,13,3.67466928
7,female,13,2.75600196
5,female,14,4.948149708
9,female,12,3.98089172
8,female,13,4.157144941
10,female,12,4.744451957
8,female,12,6.613622026
6,female,13,2.737575968
8,female,13,5.249527543
8,female,12,3.985178834
10,female,12,7.96178344
7,female,13,6.118256233
8,female,12,3.14299224
7,female,13,6.1244488
7,female,12,4.862157826
8,female,10,1.809496236
7,female,12,2.381094113
10,female,12,3.67466928
9,female,13,6.984020561
9,female,13,12.2488976
10,female,12,7.34933856
6,female,12,1.978082842
10,female,12,3.21533562
6,female,12,4.727821919
7,female,13,8.729671182
10,female,12,6.654624964
8,female,13,4.626702241
4,female,11,3.0622244
7,female,13,5.906195715
9,female,12,4.479596836
8,female,12,3.36844684
10,female,12,2.807039033
5,female,14,7.724118262
7,female,13,3.694563081
7,female,14,6.498828198
8,female,13,2.389198514
6,female,12,4.5933366
8,female,12,4.5933366
7,female,11,4.082965866
4,female,12,2.456077154
8,female,13,7.655561
5,female,14,3.164932547
6,female,13,4.942537628
7,female,12,3.67466928
6,female,10,2.022040239
10,female,12,9.799118079
6,female,13,7.582650895
8,female,13,2.990341198
9,female,12,4.28711416
6,female,11,4.5933366
4,female,12,1.213224143
6,female,12,6.1244488
7,female,14,7.146308556
8,female,11,3.361641897
3,female,12,2.14355708
6,female,12,1.959823616
1,female,13,4.32211101
8,female,12,0.10289074
5,female,9,2.547770701
8,female,12,7.96178344
8,female,12,6.573949629
7,female,11,4.28711416
4,female,11,3.293844718
6,female,12,6.910770436
9,female,12,4.447923709
5,female,11,0.779929806
7,female,12,4.723091871
8,female,12,3.931744908
8,female,10,1.350408499
6,female,13,3.538570418
6,female,12,2.87054786
6,female,11,2.481113909
4,female,12,4.13400294
9,female,12,1.532954694
8,female,12,2.44977952
6,female,11,4.461344169
3,female,13,4.042913691
7,female,11,3.36844684
7,female,14,5.108725208
8,female,11,7.259984899
6,female,12,8.26800588
9,female,12,3.21533562
6,female,12,4.914681136
6,female,12,5.639596603
9,female,12,4.303666724
9,female,12,4.5933366
7,female,12,2.71865776
7,female,12,4.405367206
10,female,11,2.382875702
7,female,12,7.96178344
4,female,11,4.78904267
8,female,12,9.609696183
6,female,12,0.931202742
8,female,11,2.820118603
8,female,13,3.510707658
9,female,12,3.98089172
4,female,12,5.51200392
7,female,12,2.948808681
5,female,12,4.5933366
7,female,10,4.478503185
7,female,12,3.042114269
3,female,12,3.578329636
8,female,12,5.203780026
2,female,12,2.615465091
8,female,12,2.799748023
3,female,12,6.548653046
6,female,11,4.485511797
9,female,11,2.621163272
9,female,12,7.834054293
8,female,13,6.278434941
8,female,12,4.5933366
4,female,13,6.43067124
8,female,12,5.247725439
7,female,12,12.53589145
5,female,12,2.279884296
5,female,14,7.655561
3,female,12,4.89955904
9,female,11,9.836952512
6,female,12,7.34933856
7,female,11,4.460532763
8,female,8,1.764622737
9,female,11,6.587087018
9,female,10,3.791325447
7,female,11,5.81822636
5,female,11,9.560115199
4,female,10,3.137648646
8,female,11,4.793848534
5,female,10,0.518894236
6,female,10,2.943358018
6,female,11,3.392412074
4,female,11,6.137208068
4,female,12,4.385411563
9,female,11,3.67466928
6,female,12,2.817246448
4,female,11,3.919647232
7,female,11,2.923671296
8,female,10,6.08842263
3,female,10,1.709543111
8,female,11,9.186673199
2,female,11,2.529781146
5,female,12,4.81316883
4,female,11,4.018565774
9,female,10,3.186705067
5,female,11,1.569608735
7,female,11,3.0622244
4,female,11,4.89955904
5,female,11,5.157430568
7,female,10,1.708537219
5,female,11,5.756259933
5,female,11,5.741364527
7,female,11,9.907997169
3,female,10,2.370019256
8,female,11,4.777070064
8,female,11,3.36844684
7,female,12,7.96178344
4,female,11,3.000979912
6,female,11,4.834479508
8,female,10,5.05267026
4,female,12,6.43067124
6,female,11,0.7655561
5,female,11,5.200269476
5,female,10,3.480561066
4,female,11,0.92954832
8,female,10,1.876164479
4,female,12,4.28711416
7,female,13,3.755558226
6,female,11,3.67466928
7,female,11,15.92356688
5,female,12,5.408256426
5,female,12,5.136634477
2,female,11,1.712211492
4,female,10,4.46076152
9,female,10,2.901327864
9,female,10,6.044524743
9,female,10,8.26800588
7,female,11,6.285618505
8,female,12,5.66511514
7,female,10,5.66511514
3,female,12,3.184713376
4,female,11,5.861435661
8,female,11,6.511873995
7,female,11,1.777750688
