subject,age,sex,test_score,hours_slept,test_difficulty,hours_studied
sub01,13.7,0,0.61,6.5,3,1.9
sub02,14.5,0,0.72,7.8,3,1
sub03,14.3,0,0.94,7.4,1,3.2
sub04,14.7,0,0.78,7.6,1,1.2
sub05,13.1,0,1.03,7.7,0,3.6
sub06,13.1,1,0.71,8,3,1
sub07,13.4,1,0.75,8.1,1,2.2
sub08,14.7,1,0.86,7.6,1,3.2
sub09,14.2,1,0.87,7.4,1,3
sub10,13.7,1,0.96,7.3,1,3.4
sub11,13.4,0,0.68,5.7,3,1.2
sub12,14.1,0,0.74,7.8,2,1.6
sub13,14.6,0,0.94,7.8,1,3
sub14,14.2,0,0.85,6.3,1,2.6
sub15,13,0,0.99,7.3,1,3.5
sub16,14.2,1,0.65,6.1,4,1.9
sub17,14.3,1,0.78,7.4,2,1.4
sub18,14.6,1,0.94,7.5,2,2.9
sub19,13.3,1,0.77,7.9,1,1
sub20,13.5,1,0.96,7.4,0,4
sub21,14.9,0,0.73,8.3,2,1
sub22,13.2,0,0.74,7.8,1,1.6
sub23,13.7,0,0.86,6.5,3,3.5
sub24,13.7,0,0.89,7.9,1,3.4
sub25,14.8,0,0.9,8,0,2.6
sub26,14.6,1,0.68,6.4,3,1.7
sub27,13.3,1,0.76,7.5,2,1.7
sub28,14.2,1,0.83,7.6,0,2.7
sub29,13.1,1,0.82,7.9,1,2.8
sub30,13.4,1,0.91,7.2,2,2.6
sub31,14.6,0,0.73,8,4,2.1
sub32,13.2,0,0.8,7.2,1,1
sub33,13.3,0,0.83,6.6,1,3.7
sub34,14.2,0,0.78,7.8,0,1.1
sub35,13.8,0,0.93,7.5,1,3.5
sub36,14.3,1,0.74,8,4,2.2
sub37,13.8,1,0.83,7,2,3.2
sub38,14,1,0.84,7.3,2,3.2
sub39,13.2,1,0.89,7.9,2,3.3
sub40,14.3,1,0.9,7.7,0,3.9
sub41,14.2,0,0.73,7,3,0.9
sub42,14.4,0,0.71,7.6,1,1.5
sub43,14,0,0.94,8.1,2,3.1
sub44,13.5,0,0.78,7.4,2,0.5
sub45,13.9,0,0.97,7.3,3,3.4
sub46,13,1,0.71,6.7,3,1.9
sub47,14.2,1,0.74,7.5,1,1.9
sub48,14.7,1,0.81,7.4,2,2.7
sub49,14.8,1,0.86,7.7,1,2.5
sub50,13.7,1,0.93,8.1,3,3
sub51,13.6,0,0.73,8,4,1.5
sub52,14.1,0,0.77,7.2,2,1.2
sub53,13.2,0,0.95,7.7,0,4
sub54,14.1,0,0.77,7.3,0,1
sub55,14.8,0,0.89,7.8,2,3.7
sub56,13.8,1,0.69,5.8,4,0.9
sub57,14.5,1,0.79,8,2,2.2
sub58,14.4,1,0.81,6.1,1,2.3
sub59,14,1,0.86,7.3,2,3.4
sub60,13.8,1,0.9,8,0,3.9
sub61,14.7,0,0.68,6,4,1.5
sub62,13.8,0,0.83,7.6,2,2.9
sub63,14,0,0.82,7.9,2,2.5
sub64,14.1,0,0.89,7.8,1,2.9
sub65,14.6,0,1,8,2,2.8
sub66,14.7,1,0.73,6.8,4,0.5
sub67,13.4,1,0.73,6.9,2,0.8
sub68,14.8,1,0.95,8,1,3.8
sub69,14.8,1,0.86,7.7,1,3.1
sub70,13.7,1,0.93,8.2,0,3.8
sub71,13.2,0,0.72,7.3,4,0.9
sub72,14.4,0,0.83,6.7,0,3.6
sub73,14.8,0,0.94,7.4,2,3.6
sub74,13.1,0,0.78,7.4,2,2.3
sub75,13.3,0,0.9,7.9,2,3.2
sub76,14.6,1,0.72,6.5,4,0.9
sub77,14.5,1,0.82,6.7,3,2.5
sub78,14.7,1,0.82,7.3,3,2.4
sub79,14.7,1,0.79,7,2,1.1
sub80,14.8,1,0.99,7.9,2,2.8
sub81,13.6,0,0.62,6.7,2,0.9
sub82,13.9,0,0.7,7.3,1,1
sub83,13.4,0,0.94,7.3,2,3.7
sub84,13.2,0,0.77,8.1,1,2.7
sub85,14.7,0,1.01,8,2,3.5
sub86,13.2,1,0.63,5.7,4,1.8
sub87,14.4,1,0.76,7.6,1,2.4
sub88,13.4,1,0.84,7.6,2,3.4
sub89,14,1,0.87,8,2,3.7
sub90,14.2,1,0.97,7.5,1,3.6
sub91,14,0,0.64,6.4,4,1.2
sub92,13.5,0,0.76,7.5,1,1.8
sub93,13.6,0,0.87,7.4,2,3.9
sub94,13.6,0,0.89,7,0,3
sub95,13.3,0,0.95,7.5,1,3.1
